02:52:12.663 [MainThread] INFO    thonny: Thonny version: 4.1.4
02:52:12.664 [MainThread] INFO    thonny: cwd: /home/javid/.config/Thonny/leave_this_empty
02:52:12.664 [MainThread] INFO    thonny: original argv: ['/usr/bin/python3', '-u', '-B', '/usr/lib/python3/dist-packages/thonny/plugins/cpython_backend/cp_launcher.py', '/home/javid/myenv', "{'run.warn_module_shadowing': True}"]
02:52:12.664 [MainThread] INFO    thonny: sys.executable: /usr/bin/python3
02:52:12.664 [MainThread] INFO    thonny: sys.argv: ['/usr/lib/python3/dist-packages/thonny/plugins/cpython_backend/cp_launcher.py', '/home/javid/myenv', "{'run.warn_module_shadowing': True}"]
02:52:12.665 [MainThread] INFO    thonny: sys.path: ['/usr/lib/python3/dist-packages/thonny/plugins/cpython_backend', '/usr/lib/python311.zip', '/usr/lib/python3.11', '/usr/lib/python3.11/lib-dynload', '/usr/local/lib/python3.11/dist-packages', '/usr/lib/python3/dist-packages', '/usr/lib/python3.11/dist-packages']
02:52:12.665 [MainThread] INFO    thonny: sys.flags: sys.flags(debug=0, inspect=0, interactive=0, optimize=0, dont_write_bytecode=1, no_user_site=0, no_site=0, ignore_environment=0, verbose=0, bytes_warning=0, quiet=0, hash_randomization=1, isolated=0, dev_mode=False, utf8_mode=0, warn_default_encoding=0, safe_path=False, int_max_str_digits=-1)
02:52:12.667 [MainThread] INFO    thonny: TIME/MODS 0.079 Before constructing backend (+26 modules)
02:52:12.667 [MainThread] INFO    thonny: NEW MODS ['_heapq', '_locale', '_posixsubprocess', '_queue', 'encodings.ascii', 'errno', 'faulthandler', 'fcntl', 'fnmatch', 'heapq', 'ipaddress', 'locale', 'math', 'ntpath', 'pathlib', 'queue', 'select', 'selectors', 'signal', 'subprocess', 'thonny.backend', 'thonny.plugins', 'thonny.plugins.cpython_backend', 'thonny.plugins.cpython_backend.cp_back', 'urllib', 'urllib.parse']
02:52:12.668 [MainThread] INFO    thonny: TIME/MODS 0.001 Before MainBackend 
02:52:12.668 [MainThread] INFO    thonny: TIME/MODS 0.001 After MainBackend 
02:52:12.748 [MainThread] INFO    thonny.backend: Loading plugins
02:52:12.749 [MainThread] INFO    thonny: TIME/MODS 0.081 Before loading plugins (+6 modules)
02:52:12.749 [MainThread] INFO    thonny: NEW MODS ['__future__', '_sysconfigdata__aarch64-linux-gnu', 'pkgutil', 'platform', 'pydoc', 'sysconfig']
02:52:12.750 [MainThread] INFO    thonny.common: Using THONNY_FRONTEND_SYS_PATH ['/usr/bin', '/usr/lib/python311.zip', '/usr/lib/python3.11', '/usr/lib/python3.11/lib-dynload', '/usr/local/lib/python3.11/dist-packages', '/usr/lib/python3/dist-packages', '/usr/lib/python3.11/dist-packages', '/home/javid/.config/Thonny/plugins/lib/python3.11/site-packages']
02:52:12.756 [MainThread] INFO    thonny.backend: Loading plugin 'thonny.plugins.backend.birdseye_backend'
02:52:12.759 [MainThread] INFO    thonny.backend: Loading plugin 'thonny.plugins.backend.dock_user_windows_backend'
02:52:12.762 [MainThread] INFO    thonny.backend: Loading plugin 'thonny.plugins.backend.flask_backend'
02:52:12.764 [MainThread] INFO    thonny.backend: Loading plugin 'thonny.plugins.backend.matplotlib_backend'
02:52:12.767 [MainThread] INFO    thonny.backend: Loading plugin 'thonny.plugins.backend.pgzero_backend'
02:52:12.774 [MainThread] INFO    thonny: TIME/MODS 0.025 After loading plugins (+6 modules)
